the_geom,OBJECTID,PARK,PARK_NO,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
POINT (-87.67131358955011 41.85609225538303),1121,HARRISON (CARTER),213,PLAYGROUND,OUTDOOR,-87.67131359,41.85609226,2549
POINT (-87.67381810676666 41.85622873064978),1122,HARRISON (CARTER),213,BASEBALL SR,OUTDOOR,-87.67381811,41.85622873,2550
POINT (-87.67541554563931 41.85621135677247),1123,HARRISON (CARTER),213,BASEBALL SR,OUTDOOR,-87.67541555,41.85621136,2551
POINT (-87.67238599953089 41.85742523417189),1126,HARRISON (CARTER),213,TENNIS COURT,OUTDOOR,-87.672386,41.85742523,2554
POINT (-87.67220847866692 41.857429519956455),1127,HARRISON (CARTER),213,TENNIS COURT,OUTDOOR,-87.67220848,41.85742952,2555
POINT (-87.59550717906329 41.81385391025598),1128,HARSH (VIVIAN G.),324,PLAYGROUND PARK,OUTDOOR,-87.59550718,41.81385391,2556
POINT (-87.59550519057892 41.81395596564507),1129,HARSH (VIVIAN G.),324,SPRAY FEATURE,OUTDOOR,-87.59550519,41.81395597,2557
POINT (-87.65674341272572 42.002384397770705),1130,HARTIGAN (DAVID) BEACH,1248,BEACH,OUTDOOR,-87.65674341,42.0023844,2558
POINT (-87.65769376051 42.00227200187551),1131,HARTIGAN (DAVID) BEACH,1248,PLAYGROUND,OUTDOOR,-87.65769376,42.002272,2559
POINT (-87.56772978218595 41.77005500780597),1132,HASAN (ELLIOT),294,PLAYGROUND PARK,OUTDOOR,-87.56772978,41.77005501,2560
POINT (-87.69661313818945 41.74126301678104),1133,HAYES (FRANCIS),242,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.69661314,41.74126302,2561
POINT (-87.69688518278319 41.74034536012515),1134,HAYES (FRANCIS),242,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.69688518,41.74034536,2562
POINT (-87.69692506803823 41.73903754008927),1135,HAYES (FRANCIS),242,FITNESS CENTER,INDOOR,-87.69692507,41.73903754,2563
POINT (-87.69681678783468 41.7390773432244),1136,HAYES (FRANCIS),242,GYMNASIUM,INDOOR,-87.69681679,41.73907734,2564
POINT (-87.69732977102443 41.73902463048708),1137,HAYES (FRANCIS),242,POOL (INDOOR),INDOOR,-87.69732977,41.73902463,2565
POINT (-87.69630679958325 41.73985036562736),1138,HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR,-87.6963068,41.73985037,2566
POINT (-87.6963457960216 41.74070920261385),1139,HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR,-87.6963458,41.7407092,2567
POINT (-87.6959942309872 41.74127627909639),1140,HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69599423,41.74127628,2568
POINT (-87.69743309898462 41.7405120015116),1141,HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR,-87.6974331,41.740512,2569
POINT (-87.69587776157229 41.74207836622996),1142,HAYES (FRANCIS),242,PLAYGROUND,OUTDOOR,-87.69587776,41.74207837,2570
POINT (-87.6958720835558 41.74196656184511),1143,HAYES (FRANCIS),242,SPRAY FEATURE,OUTDOOR,-87.69587208,41.74196656,2571
POINT (-87.69732348127663 41.741309047413665),1144,HAYES (FRANCIS),242,BASEBALL SR,OUTDOOR,-87.69732348,41.74130905,2572
POINT (-87.6973803713364 41.73966833110089),1145,HAYES (FRANCIS),242,BASEBALL SR,OUTDOOR,-87.69738037,41.73966833,2573
POINT (-87.69792352592629 41.7393633288618),1146,HAYES (FRANCIS),242,VOLLEYBALL,OUTDOOR,-87.69792353,41.73936333,2574
POINT (-87.77409636923038 41.892475868413506),1147,HAZELNUT,417,PLAYGROUND PARK,OUTDOOR,-87.77409637,41.89247587,2575
POINT (-87.66828980455298 41.78738149666322),1148,HERMITAGE,1008,BASKETBALL COURT,OUTDOOR,-87.6682898,41.7873815,2576
POINT (-87.66773673182223 41.78716985046824),1149,HERMITAGE,1008,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.66773673,41.78716985,2577
POINT (-87.66722030895335 41.78698944127561),1150,HERMITAGE,1008,BASEBALL JR/SOFTBALL,OUTDOOR,-87.66722031,41.78698944,2578
POINT (-87.66865579406614 41.78701485075725),1151,HERMITAGE,1008,PLAYGROUND,OUTDOOR,-87.66865579,41.78701485,2579
POINT (-87.6687781094829 41.786861703815674),1152,HERMITAGE,1008,SPRAY FEATURE,OUTDOOR,-87.66877811,41.7868617,2580
POINT (-87.66901381285501 41.78741987577945),1153,HERMITAGE,1008,VOLLEYBALL,OUTDOOR,-87.66901381,41.78741988,2581
POINT (-87.73985330498857 41.921816336584634),1154,HERMOSA,125,BASKETBALL COURT,OUTDOOR,-87.7398533,41.92181634,2582
POINT (-87.74075115097838 41.92202247340692),1155,HERMOSA,125,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.74075115,41.92202247,2583
POINT (-87.74049211449389 41.922358915333156),1156,HERMOSA,125,BASEBALL JR/SOFTBALL,OUTDOOR,-87.74049211,41.92235892,2584
POINT (-87.73983511454063 41.92224394628383),1157,HERMOSA,125,PLAYGROUND,OUTDOOR,-87.73983511,41.92224395,2585
POINT (-87.73948819628949 41.922446706240635),1158,HERMOSA,125,SPRAY FEATURE,OUTDOOR,-87.7394882,41.92244671,2586
POINT (-87.74112712029127 41.92177509563755),1159,HERMOSA,125,BASEBALL SR,OUTDOOR,-87.74112712,41.9217751,2587
POINT (-87.73961891915161 41.92177527692117),1160,HERMOSA,125,VOLLEYBALL,OUTDOOR,-87.73961892,41.92177528,2588
POINT (-87.82516965198057 41.944031277028365),1161,HIAWATHA,229,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.82516965,41.94403128,2589
POINT (-87.82767308125446 41.94368350246623),1162,HIAWATHA,229,FITNESS CENTER,INDOOR,-87.82767308,41.9436835,2590
POINT (-87.82730964663529 41.94383791297294),1163,HIAWATHA,229,GYMNASIUM,INDOOR,-87.82730965,41.94383791,2591
POINT (-87.82767214285442 41.943412465358925),1164,HIAWATHA,229,BOCCE COURT,SPECIAL,-87.82767214,41.94341247,2592
POINT (-87.82806711859438 41.94322560400121),1165,HIAWATHA,229,BASEBALL JR/SOFTBALL,OUTDOOR,-87.82806712,41.9432256,2593
POINT (-87.82843574823657 41.94327490822196),1166,HIAWATHA,229,PLAYGROUND,OUTDOOR,-87.82843575,41.94327491,2594
POINT (-87.82642629073335 41.94341969975505),1167,HIAWATHA,229,SPORT ROLLER COURT,OUTDOOR,-87.82642629,41.9434197,2595
POINT (-87.82870557319094 41.94325490238264),1168,HIAWATHA,229,SPRAY FEATURE,OUTDOOR,-87.82870557,41.9432549,2596
POINT (-87.8244951367993 41.94353301416051),1169,HIAWATHA,229,BASEBALL SR,OUTDOOR,-87.82449514,41.94353301,2597
POINT (-87.82591456167914 41.943518103004045),1170,HIAWATHA,229,BASEBALL SR,OUTDOOR,-87.82591456,41.9435181,2598
POINT (-87.8245084223579 41.94453971304218),1171,HIAWATHA,229,BASEBALL SR,OUTDOOR,-87.82450842,41.94453971,2599
POINT (-87.8259507119579 41.94432887398574),1172,HIAWATHA,229,BASEBALL SR,OUTDOOR,-87.82595071,41.94432887,2600
POINT (-87.82630070138458 41.94404432186976),1173,HIAWATHA,229,TENNIS COURT,OUTDOOR,-87.8263007,41.94404432,2601
POINT (-87.82647101296378 41.94404507385019),1174,HIAWATHA,229,TENNIS COURT,OUTDOOR,-87.82647101,41.94404507,2602
POINT (-87.65809604722665 41.97016471822273),1175,HICKORY,299,PLAYGROUND PARK,OUTDOOR,-87.65809605,41.97016472,2603
POINT (-87.59882590243348 41.76394295223898),1176,HOARD (EDISON),387,BASKETBALL COURT,OUTDOOR,-87.5988259,41.76394295,2604
POINT (-87.59912038910386 41.763939229838115),1177,HOARD (EDISON),387,BASKETBALL COURT,OUTDOOR,-87.59912039,41.76393923,2605
POINT (-87.5983317839389 41.763510104591006),1178,HOARD (EDISON),387,BASEBALL JR/SOFTBALL,OUTDOOR,-87.59833178,41.7635101,2606
