PARK,X_COORD,Y_COORD
JACKSON (ANDREW),-87.58554344,41.77564955
JACKSON (ANDREW),-87.57388546,41.78211164
JACKSON (ANDREW),-87.57897521,41.79089674
JACKSON (ANDREW),-87.57634124,41.77994575
JACKSON (ANDREW),-87.57931259,41.78918196
JACKSON (ANDREW),-87.57893261,41.78941888
JACKSON (ANDREW),-87.58283704,41.77911604
JACKSON (ANDREW),-87.57975293,41.78161897
JACKSON (ANDREW),-87.578378,41.78507922
JACKSON (ANDREW),-87.58537077,41.78165568
JACKSON (ANDREW),-87.58558365,41.77895702
JACKSON (ANDREW),-87.58577424,41.78698732
JACKSON (ANDREW),-87.58283989,41.78649775
JACKSON (ANDREW),-87.58086028,41.77909937
JACKSON (ANDREW),-87.57774475,41.78359014
JACKSON (ANDREW),-87.58547029,41.77878357
JACKSON (ANDREW),-87.57891521,41.7814009
JACKSON (ANDREW),-87.5811907,41.78073094
JACKSON (ANDREW),-87.58575019,41.78207091
JACKSON (ANDREW),-87.57585549,41.77365506
JACKSON (ANDREW),-87.585933,41.77920989
JACKSON (ANDREW),-87.58540244,41.78282737
JACKSON (ANDREW),-87.58585391,41.79286946
JACKSON (ANDREW),-87.58501659,41.79301766
JACKSON (ANDREW),-87.58416492,41.77812996
JACKSON (ANDREW),-87.58576229,41.78102878
JACKSON (ANDREW),-87.58380476,41.7798154
JACKSON (ANDREW),-87.58364778,41.77976792
JACKSON (ANDREW),-87.58349565,41.77971333
JACKSON (ANDREW),-87.58367581,41.77941078
JACKSON (ANDREW),-87.58383263,41.77947255
JACKSON (ANDREW),-87.5839897,41.77951288
JACKSON (ANDREW),-87.58417927,41.7792211
JACKSON (ANDREW),-87.58402237,41.77916648
JACKSON (ANDREW),-87.58384646,41.77910459
JACKSON (ANDREW),-87.58536928,41.77951829
JACKSON (ANDREW),-87.58554113,41.77951941
JACKSON (ANDREW),-87.57929248,41.78641611
JACKSON (ANDREW),-87.5791109,41.78642921
JACKSON (ANDREW),-87.57893886,41.78644237
JACKSON (ANDREW),-87.57876202,41.78645908
JACKSON (ANDREW),-87.57871809,41.78613362
JACKSON (ANDREW),-87.57889494,41.78611691
JACKSON (ANDREW),-87.57907178,41.78610021
JACKSON (ANDREW),-87.57923896,41.78609416
JACKSON (ANDREW),-87.57854216,41.78647907
JACKSON (ANDREW),-87.57837017,41.78648866
JACKSON (ANDREW),-87.57850297,41.78615722
JACKSON (ANDREW),-87.5783167,41.78616314
JACKSON (ANDREW),-87.5850752,41.78424323
JACKSON (MAHALIA),-87.63895915,41.74220796
JACKSON (MAHALIA),-87.63916778,41.74209672
JACKSON (MAHALIA),-87.63974196,41.74156843
JACKSON (MAHALIA),-87.63989623,41.74286718
JACKSON (MAHALIA),-87.6394266,41.74230721
JACKSON (MAHALIA),-87.63835524,41.74249359
JACKSON (MAHALIA),-87.6384676,41.74235498
JACKSON (ROBERT),-87.62085622,41.81589427
JACOB,-87.6983213,41.96662147
JACOLIK (FLORIAN S.),-87.66109743,41.84377774
GRIFFIN (MARION MAHONY) BEACH,-87.66262925,42.0158813
JEFFERSON (NANCY),-87.70410123,41.88602716
JEFFERSON (NANCY),-87.70448162,41.88605719
JEFFERSON (THOMAS),-87.64222198,41.85898269
JEFFERSON (THOMAS) MEML.,-87.76288904,41.96862936
JEFFERSON (THOMAS) MEML.,-87.76363764,41.96832492
JEFFERSON (THOMAS) MEML.,-87.76384543,41.96870708
JEFFERSON (THOMAS) MEML.,-87.76327348,41.96825433
JEFFERSON (THOMAS) MEML.,-87.76316931,41.96874097
JEFFERSON (THOMAS) MEML.,-87.76457321,41.96804586
JEFFERSON (THOMAS) MEML.,-87.76290003,41.96793439
JEFFERSON (THOMAS) MEML.,-87.76307271,41.96794671
JEFFERSON (THOMAS) MEML.,-87.7632339,41.96795611
JEFFERSON (THOMAS) MEML.,-87.76339125,41.96796549
JENSEN (CHRIST),-87.72123254,41.96577494
JENSEN (CHRIST),-87.72122242,41.96524649
JENSEN (CHRIST),-87.7209467,41.96544885
JENSEN (CHRIST),-87.72088432,41.96617171
JENSEN (CHRIST),-87.72091585,41.96592791
JONES (MARY RICHARDSON),-87.62895738,41.86625442
JONQUIL,-87.65407203,41.92830703
JONQUIL,-87.65505531,41.92834588
JONQUIL,-87.65541366,41.92866475
JONQUIL,-87.65523669,41.92866565
JUNCTION GROVE,-87.63431844,41.77777669
JUNIPER,-87.66682382,41.94860649
JUNIPER,-87.6669665,41.94865287
KEDVALE,-87.72972194,41.90659387
KEDVALE,-87.72999148,41.90662539
KEDVALE,-87.73047666,41.90664496
KEDVALE,-87.73056488,41.90676584
KEELER (CYRUS),-87.7296459,41.8648219
KELLS (GEORGE),-87.70743239,41.89484485
KELLS (GEORGE),-87.70753244,41.89531797
KELLY (EDWARD),-87.69370862,41.81798356
KELLY (EDWARD),-87.6930659,41.81863524
KELLY (EDWARD),-87.69298175,41.81901984
KELLY (EDWARD),-87.69218388,41.818336
KELLY (EDWARD),-87.69317351,41.81819367
KELLY (EDWARD),-87.69269468,41.81902176
